<<<<<<< HEAD
项目,ppm,B,G,R,H,S,,,,,,,
,12.5,87,138,146,26,102,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
工业碱,7.34,153,140,132,108,35,,,,,,,
,8.14,151,142,133,104,29,,,,,,,
,8.74,158,126,127,120,52,,,,,,,
,9.19,161,85,118,132,120,,,,,,,
,10.18,127,21,119,147,211,,,,,,,
,11.8,94,6,91,148,237,,,,,,,
,0,152,142,132,105,32,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
硫酸铝钾,0,116,126,104,76,44,,,,,,,
,,114,126,104,74,45,,,,,,,
,,118,125,105,78,40,,,,,,,
,,113,124,103,73,42,,,,,,,
,,114,124,104,75,39,,,,,,,
,,113,126,104,72,45,,,,,,,
,0.5,148,112,47,100,174,,,,,,,
,,150,111,44,100,178,,,,,,,
,,138,118,71,98,123,,,,,,,
,,136,118,70,98,122,,,,,,,
,,136,117,64,98,134,,,,,,,
,,136,118,64,97,135,,,,,,,
,,138,111,50,99,161,,,,,,,
,1,149,116,48,99,172,,,,,,,
,,150,115,49,100,171,,,,,,,
,,147,119,55,99,159,,,,,,,
,,149,119,64,100,145,,,,,,,
,,140,113,54,99,156,,,,,,,
,,137,111,51,99,160,,,,,,,
,1.5,153,113,44,101,180,,,,,,,
,,153,113,42,100,184,,,,,,,
,,153,115,50,101,171,,,,,,,
,,153,115,47,100,176,,,,,,,
,,152,116,52,100,167,,,,,,,
,,153,116,49,100,171,,,,,,,
,2,156,106,34,102,199,,,,,,,
,,162,107,37,103,196,,,,,,,
,,161,110,40,102,190,,,,,,,
,,163,111,38,102,194,,,,,,,
,,159,104,35,103,198,,,,,,,
,,158,105,35,103,198,,,,,,,
,5,155,107,34,101,198,,,,,,,
,,156,108,34,101,198,,,,,,,
,,152,116,48,100,174,,,,,,,
,,151,115,51,100,168,,,,,,,
,,154,105,33,102,199,,,,,,,
,,156,105,35,102,197,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
奶中尿素,0,118,136,139,25,37,,,,,,,
,500,117,137,139,27,41,,,,,,,
,1000,108,136,138,28,54,,,,,,,
,1500,110,136,139,26,52,,,,,,,
,2000,108,140,142,28,60,,,,,,,
,0,120,136,138,26,33,,,,,,,
,5,119,140,142,26,40,,,,,,,
,500,111,139,142,27,55,,,,,,,
,1500,107,136,139,26,58,,,,,,,
,2000,105,136,137,28,58,,,,,,,
,0,125,135,140,20,27,,,,,,,
,500,114,134,138,25,44,,,,,,,
,1000,112,132,134,27,42,,,,,,,
,1500,105,134,138,26,60,,,,,,,
,2000,107,135,138,26,57,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
>>>>>>> lhk
